lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
56,1,87.32,6,21,4,3,0,0,3,1
159,0,70.0,2,13,3,1,0,0,0,1
86,1,107.1,8,12,4,2,0,3,0,1
116,0,75.27,6,30,4,3,2,3,0,1
243,0,73.95,11,24,4,3,1,0,0,0
139,0,151.2,10,8,4,1,2,0,3,0
4,1,106.14,8,14,4,5,2,0,0,1
73,1,72.12,3,17,4,3,2,0,1,0
205,0,90.0,5,29,3,1,2,0,0,0
212,0,78.0,5,20,3,3,2,0,0,0
203,1,105.3,8,10,4,3,0,0,0,0
42,1,127.79,3,12,4,5,2,1,3,1
177,0,100.0,6,3,3,2,0,0,0,0
57,1,90.67,6,10,3,2,1,0,0,1
3,1,104.72,5,2,4,0,1,0,0,1
14,2,129.0,5,23,4,0,1,3,0,1
19,0,130.0,5,2,4,2,1,0,0,1
144,1,81.08,7,25,4,1,1,0,0,1
55,0,79.0,7,7,2,1,0,0,0,1
86,0,73.95,3,20,4,2,2,0,0,1
1,1,98.3,1,15,4,1,0,0,0,1
73,2,140.0,12,5,4,2,1,0,3,1
140,0,70.0,12,29,3,5,0,0,0,1
50,0,60.0,11,11,3,3,0,0,3,1
36,2,102.6,10,13,4,1,0,3,0,1
162,2,130.5,7,16,4,1,1,0,0,0
377,1,115.0,10,14,3,2,0,1,0,0
77,1,145.8,11,6,4,2,2,0,3,1
186,2,164.25,8,1,4,5,2,1,0,0
84,1,90.9,10,26,4,3,0,0,0,1
37,0,105.0,10,13,3,3,0,0,0,1
97,1,64.98,3,24,4,3,1,0,0,1
19,0,174.5,3,18,4,2,0,1,0,0
41,0,140.4,3,25,4,2,0,0,3,0
78,1,107.1,7,17,4,3,2,0,0,1
268,0,95.4,10,1,4,1,1,3,0,0
5,1,122.0,6,22,4,2,0,3,0,1
59,0,81.0,1,28,3,1,0,0,0,1
4,0,127.0,3,11,4,2,1,0,0,0
3,2,119.0,4,24,4,0,1,0,0,1
59,0,85.0,10,29,3,2,0,0,0,1
0,0,103.18,7,10,4,0,2,3,0,1
48,1,84.45,1,8,4,5,2,0,0,1
41,0,79.43,2,5,4,3,2,0,0,1
86,2,90.0,11,4,4,2,1,0,0,1
180,3,141.3,10,8,4,1,2,0,3,1
93,1,79.0,10,8,4,1,2,3,0,1
59,1,119.0,12,4,4,2,2,0,3,1
74,0,101.5,9,18,3,2,0,1,0,1
213,0,130.0,6,7,4,3,0,0,0,0
60,0,123.3,9,2,4,2,0,0,3,0
8,0,170.63,10,6,2,1,0,0,4,0
51,0,85.5,9,11,3,1,2,0,0,1
1,1,139.33,10,9,4,2,1,0,0,1
4,2,0.0,12,5,1,1,0,0,0,1
9,0,95.0,10,20,2,1,0,0,0,1
155,1,96.12,8,22,4,5,2,0,0,1
119,1,162.0,9,19,4,0,1,0,3,1
54,2,139.5,10,31,4,1,0,3,5,1
45,0,65.0,4,10,2,0,1,0,0,0
49,2,116.1,5,8,4,0,2,3,0,1
80,1,88.29,12,20,4,5,2,1,0,1
22,1,139.0,10,25,4,3,0,0,0,1
3,1,72.07,2,7,4,2,2,0,0,1
0,0,51.3,11,27,4,2,0,3,0,1
